,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
0,edge_lig_1_lig_11-0,0.9899999999999997,0.2604000000000009,0.5102940328869239,3
1,edge_lig_1_lig_11,0.9899999999999997,0.2604000000000009,0.5102940328869239,3
2,edge_lig_1_lig_12-0,1.2733333333333334,0.09103333333333376,0.3017173069834307,3
3,edge_lig_1_lig_12,1.2733333333333334,0.09103333333333376,0.3017173069834307,3
4,edge_lig_1_lig_13-0,0.956666666666667,0.15463333333333334,0.39323445084749803,3
5,edge_lig_1_lig_13-1,-2.0666666666666664,0.5222333333333335,0.7226571340084684,3
6,edge_lig_1_lig_2,-0.8366666666666666,0.08043333333333334,0.2836077102854105,3
7,edge_lig_11-0_lig_11,-0.5233333333333333,0.09143333333333334,0.3023794525647094,3
8,edge_lig_11-0_lig_12-0,0.16333333333333325,0.45523333333333327,0.6747098141670486,3
9,edge_lig_11-0_lig_12,0.16333333333333325,0.45523333333333327,0.6747098141670486,3
10,edge_lig_11-0_lig_13-0,0.8800000000000002,0.09730000000000033,0.311929479209645,3
11,edge_lig_11-0_lig_13-1,-2.9766666666666666,2.1786333333333388,1.4760194217331082,3
12,edge_lig_11-0_lig_2,-1.3266666666666669,0.2508333333333321,0.5008326400438894,3
13,edge_lig_11_lig_12-0,0.6766666666666671,0.7660333333333337,0.875233302230516,3
14,edge_lig_11_lig_12,0.6766666666666671,0.7660333333333337,0.875233302230516,3
15,edge_lig_11_lig_13-0,0.9200000000000005,0.3724000000000015,0.6102458520956955,3
16,edge_lig_11_lig_13-1,-1.8466666666666711,0.739233333333334,0.8597867952773722,3
17,edge_lig_11_lig_2,-0.8733333333333336,0.021733333333333497,0.14742229591664044,3
18,edge_lig_12-0_lig_12,-1.3900000000000006,0.44769999999999927,0.6691038783328036,3
19,edge_lig_12-0_lig_13-0,-0.060000000000002274,0.029199999999999466,0.17088007490634907,3
20,edge_lig_12-0_lig_13-1,-2.9299999999999997,1.5378999999999963,1.240120961842028,3
21,edge_lig_12-0_lig_2,-1.5766666666666669,0.17613333333333372,0.41968241961432423,3
22,edge_lig_12_lig_13-0,0.5966666666666663,0.1577333333333344,0.39715656022950746,3
23,edge_lig_12_lig_13-1,-1.4833333333333332,0.6770333333333357,0.8228203530135455,3
24,edge_lig_12_lig_2,-0.7466666666666666,0.9842333333333332,0.9920853457910429,3
25,edge_lig_13-0_lig_13-1,-1.5600000000000003,0.8250999999999991,0.9083501527494775,3
26,edge_lig_13-0_lig_2,-1.4633333333333336,1.000533333333335,1.0002666311205903,3
27,edge_lig_13-1_lig_2,0.9666666666666662,0.1182333333333329,0.34385074281340866,3
